Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11831,2025-10-11,allianz mtv stuttgart,, ,2,slacanin leilani,4,2,-,2,2,-,7,-,43%,0%,10,-,2,4,40%,-
11831,2025-10-11,allianz mtv stuttgart,, ,3,gross jasmine,6,3,4,6,1,1,-,-,.,.,5,-,1,4,80%,1
11831,2025-10-11,allianz mtv stuttgart,, ,4,bamba yurika (l),-,-,-,-,-,-,4,-,75%,0%,-,-,-,-,.,-
11831,2025-10-11,allianz mtv stuttgart,, ,5,grote lydia,6,3,3,9,1,1,-,-,.,.,18,1,1,5,28%,-
11831,2025-10-11,allianz mtv stuttgart,, ,6,stautz antonia,5,4,2,10,-,3,11,2,73%,27%,10,-,1,2,20%,-
11831,2025-10-11,allianz mtv stuttgart,, ,7,mottis fabiana (l),-,-,-1,-,-,-,9,1,78%,33%,-,-,-,-,.,-
11831,2025-10-11,allianz mtv stuttgart,, ,8,holthaus eleanor joyce,5,3,4,5,-,-,4,1,50%,0%,4,-,-,3,75%,2
11831,2025-10-11,allianz mtv stuttgart,, ,9,koulberg anna,4,3,2,9,1,-,-,-,.,.,6,-,1,1,17%,3
11831,2025-10-11,allianz mtv stuttgart,, ,11,martin pauline,8,4,6,11,1,1,-,-,.,.,12,-,1,6,50%,1
11831,2025-10-11,allianz mtv stuttgart,, ,12,varela lucia,9,5,9,8,-,2,-,-,.,.,8,-,-,6,75%,1
11831,2025-10-11,allianz mtv stuttgart,, ,15,shaffmaster melani,2,1,2,10,-,-,-,-,.,.,4,-,-,2,50%,-
11831,2025-10-11,allianz mtv stuttgart,, ,16,mogensen mikala,3,2,2,3,1,-,3,-,67%,0%,8,-,-,3,38%,-
11831,2025-10-11,allianz mtv stuttgart,, ,17,de paula viana julia,4,3,2,1,-,-,4,1,50%,0%,7,1,-,4,57%,-
11831,2025-10-11,allianz mtv stuttgart,, ,19,jerkovic tea,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11831,2025-10-11,allianz mtv stuttgart,, ,,totals,56,33,35,74,7,8,42,5,64%,14%,92,2,7,40,43%,8
