Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11831,2025-10-11,etv hamburger volksbank volleys,, ,1,meiser jana-marie (l),-,-,-3,-,-,-,21,3,24%,5%,-,-,-,-,.,-
11831,2025-10-11,etv hamburger volksbank volleys,, ,3,köster lina,4,1,-5,7,2,-,20,4,30%,5%,16,1,2,4,25%,-
11831,2025-10-11,etv hamburger volksbank volleys,, ,4,stiriz sarah (l),-,-,-,-,-,-,2,-,0%,0%,-,-,-,-,.,-
11831,2025-10-11,etv hamburger volksbank volleys,, ,5,hartig anna,9,3,8,4,-,-,-,-,.,.,13,-,1,6,46%,3
11831,2025-10-11,etv hamburger volksbank volleys,, ,6,von meyenn constanze,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11831,2025-10-11,etv hamburger volksbank volleys,, ,7,körtzinger leonie,6,3,3,12,1,3,-,-,.,.,17,2,-,2,12%,1
11831,2025-10-11,etv hamburger volksbank volleys,, ,8,konjer zoe,-,-,-,4,-,-,-,-,.,.,-,-,-,-,.,-
11831,2025-10-11,etv hamburger volksbank volleys,, ,9,klein luise,3,2,3,3,-,-,-,-,.,.,4,-,-,3,75%,-
11831,2025-10-11,etv hamburger volksbank volleys,, ,10,liegert lena,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11831,2025-10-11,etv hamburger volksbank volleys,, ,11,frobel svea,10,4,-,6,2,-,16,1,25%,13%,31,3,4,10,32%,-
11831,2025-10-11,etv hamburger volksbank volleys,, ,12,ammerman hannah,3,-,-,5,1,-,8,-,63%,0%,10,2,-,2,20%,1
11831,2025-10-11,etv hamburger volksbank volleys,, ,14,dittmann fiona,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11831,2025-10-11,etv hamburger volksbank volleys,, ,15,thaden alexa sophie,1,1,-,3,1,1,-,-,.,.,-,-,-,-,.,-
11831,2025-10-11,etv hamburger volksbank volleys,, ,17,krams louisa,6,2,2,8,3,1,-,-,.,.,6,-,1,3,50%,2
11831,2025-10-11,etv hamburger volksbank volleys,, ,,totals,42,16,8,52,10,5,67,8,30%,6%,97,8,8,30,31%,7
