Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11832,2025-10-11,binder blaubären tsv flacht,, ,1,zuber saskia,1,1,-,-,-,-,-,-,.,.,1,-,1,-,0%,1
11832,2025-10-11,binder blaubären tsv flacht,, ,4,van der veer franka,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
11832,2025-10-11,binder blaubären tsv flacht,, ,5,finger lea,-,-,-,2,-,-,-,-,.,.,1,-,-,-,0%,-
11832,2025-10-11,binder blaubären tsv flacht,, ,7,schammer britta,8,3,6,7,2,-,-,-,.,.,7,-,-,5,71%,3
11832,2025-10-11,binder blaubären tsv flacht,, ,8,binkau hanne,4,2,-3,6,2,-,16,1,13%,13%,12,2,2,2,17%,2
11832,2025-10-11,binder blaubären tsv flacht,, ,9,marjanovic sara,1,1,-4,4,-,1,10,4,20%,10%,4,-,1,-,0%,-
11832,2025-10-11,binder blaubären tsv flacht,, ,10,büdenbender leonie (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11832,2025-10-11,binder blaubären tsv flacht,, ,11,neuhaus frauke,11,2,3,5,3,-,-,-,.,.,23,3,2,10,43%,1
11832,2025-10-11,binder blaubären tsv flacht,, ,13,vogel roxana,1,-,-2,6,3,-,-,-,.,.,3,-,-,1,33%,-
11832,2025-10-11,binder blaubären tsv flacht,, ,15,lobzhanidze lizzy irine,2,-,-,6,1,-,-,-,.,.,6,1,-,1,17%,1
11832,2025-10-11,binder blaubären tsv flacht,, ,16,kögler hanna,2,2,-6,12,3,1,14,3,14%,7%,9,2,-,1,11%,-
11832,2025-10-11,binder blaubären tsv flacht,, ,18,stäbler alina (l),-,-,-5,-,-,-,24,5,29%,13%,-,-,-,-,.,-
11832,2025-10-11,binder blaubären tsv flacht,, ,,totals,30,11,-11,49,14,2,64,13,20%,11%,66,8,6,20,30%,8
