Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11833,2025-10-12,vfb suhl lotto thüringen,, ,1,naujack svea,7,2,-2,13,2,1,17,2,59%,6%,17,4,1,6,35%,-
11833,2025-10-12,vfb suhl lotto thüringen,, ,2,ramos mencia irene del carmen,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11833,2025-10-12,vfb suhl lotto thüringen,, ,3,nagels lara,4,2,3,7,-,-,1,1,0%,0%,6,-,-,3,50%,1
11833,2025-10-12,vfb suhl lotto thüringen,, ,4,laakkonen roosa,7,6,4,8,2,1,-,-,.,.,5,1,-,4,80%,2
11833,2025-10-12,vfb suhl lotto thüringen,, ,5,hartmann hannah,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11833,2025-10-12,vfb suhl lotto thüringen,, ,7,sambale emma (l),-,-,-1,-,-,-,13,1,85%,8%,-,-,-,-,.,-
11833,2025-10-12,vfb suhl lotto thüringen,, ,8,foley mackenzie,7,6,-5,7,3,-,15,-,60%,7%,25,5,4,6,24%,1
11833,2025-10-12,vfb suhl lotto thüringen,, ,9,dotson sanaa,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11833,2025-10-12,vfb suhl lotto thüringen,, ,11,berger laura,4,3,1,14,2,3,-,-,.,.,5,-,1,1,20%,-
11833,2025-10-12,vfb suhl lotto thüringen,, ,17,nasin alina,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11833,2025-10-12,vfb suhl lotto thüringen,, ,20,lai xiang-chen (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11833,2025-10-12,vfb suhl lotto thüringen,, ,25,brancuska monika,22,8,20,23,-,2,-,-,.,.,30,1,1,20,67%,-
11833,2025-10-12,vfb suhl lotto thüringen,, ,,totals,51,27,20,72,9,7,46,4,65%,7%,88,11,7,40,45%,4
