Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11835,2025-10-11,ladies in black aachen,, ,1,jebens celine,24,5,18,14,2,1,-,-,.,.,38,2,2,21,55%,2
11835,2025-10-11,ladies in black aachen,, ,3,zander marit,-,-,-,6,-,-,-,-,.,.,-,-,-,-,.,-
11835,2025-10-11,ladies in black aachen,, ,5,glaab corina,3,3,-,24,3,3,-,-,.,.,1,-,-,-,0%,-
11835,2025-10-11,ladies in black aachen,, ,8,mavrommatis zoi,13,6,2,22,2,2,17,2,47%,29%,43,3,4,10,23%,1
11835,2025-10-11,ladies in black aachen,, ,10,mico sindi,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11835,2025-10-11,ladies in black aachen,, ,11,ilieva tsvetelina,20,10,5,15,5,1,48,5,38%,10%,37,2,3,19,51%,-
11835,2025-10-11,ladies in black aachen,, ,13,freiynfeldova hanna,1,-,-,-,-,-,-,-,.,.,3,-,1,1,33%,-
11835,2025-10-11,ladies in black aachen,, ,14,milkovic milica,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
11835,2025-10-11,ladies in black aachen,, ,15,fallah sophia,5,1,3,8,2,-,-,-,.,.,6,-,-,5,83%,-
11835,2025-10-11,ladies in black aachen,, ,16,struka karmena,4,3,1,6,1,1,-,-,.,.,6,1,1,-,0%,3
11835,2025-10-11,ladies in black aachen,, ,17,jost kacey (l),-,-,-2,-,-,-,30,2,57%,17%,-,-,-,-,.,-
11835,2025-10-11,ladies in black aachen,, ,18,ambrosius lea,13,3,7,12,2,1,-,-,.,.,15,2,2,8,53%,4
11835,2025-10-11,ladies in black aachen,, ,,totals,83,31,34,108,17,9,95,9,45%,16%,149,10,13,64,43%,10
