Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11836,2025-10-18,allianz mtv stuttgart,, ,2,slacanin leilani,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11836,2025-10-18,allianz mtv stuttgart,, ,3,gross jasmine,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11836,2025-10-18,allianz mtv stuttgart,, ,4,bamba yurika (l),-,-,-,-,-,-,8,-,38%,25%,-,-,-,-,.,-
11836,2025-10-18,allianz mtv stuttgart,, ,5,grote lydia,1,1,-,4,1,-,-,-,.,.,2,-,-,1,50%,-
11836,2025-10-18,allianz mtv stuttgart,, ,6,stautz antonia,7,4,5,17,-,2,10,1,60%,40%,25,1,-,5,20%,-
11836,2025-10-18,allianz mtv stuttgart,, ,7,mottis fabiana (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11836,2025-10-18,allianz mtv stuttgart,, ,8,holthaus eleanor joyce,13,8,6,11,1,-,25,2,48%,28%,20,3,1,11,55%,2
11836,2025-10-18,allianz mtv stuttgart,, ,9,koulberg anna,9,5,7,9,2,1,-,-,.,.,5,-,-,4,80%,4
11836,2025-10-18,allianz mtv stuttgart,, ,11,martin pauline,16,7,10,11,1,2,-,-,.,.,31,4,1,14,45%,-
11836,2025-10-18,allianz mtv stuttgart,, ,12,varela lucia,9,2,8,10,1,2,1,-,100%,0%,9,-,-,7,78%,-
11836,2025-10-18,allianz mtv stuttgart,, ,15,shaffmaster melani,3,1,2,11,1,-,-,-,.,.,3,-,-,3,100%,-
11836,2025-10-18,allianz mtv stuttgart,, ,16,mogensen mikala,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11836,2025-10-18,allianz mtv stuttgart,, ,17,de paula viana julia,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11836,2025-10-18,allianz mtv stuttgart,, ,19,jerkovic tea,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
11836,2025-10-18,allianz mtv stuttgart,, ,,totals,58,28,38,74,7,7,44,3,50%,30%,95,8,2,45,47%,6
