Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11839,2025-10-18,etv hamburger volksbank volleys,, ,1,meiser jana-marie (l),-,-,-1,-,-,-,19,1,47%,26%,-,-,-,-,.,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,2,clemann feli anne (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,3,köster lina,-,-,-4,1,-,-,4,1,0%,0%,8,2,1,-,0%,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,5,hartig anna,4,3,2,5,-,-,-,-,.,.,5,-,2,2,40%,2
11839,2025-10-18,etv hamburger volksbank volleys,, ,6,von meyenn constanze,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,7,körtzinger leonie,6,1,2,9,2,1,-,-,.,.,16,1,1,5,31%,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,8,konjer zoe,1,1,-,4,1,1,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,9,klein luise,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,10,liegert lena,-,-,-1,3,1,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,11,frobel svea,9,1,-5,8,-,-,30,5,37%,10%,30,5,4,9,30%,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,12,ammerman hannah,3,2,-2,3,-,-,15,3,13%,0%,15,1,1,2,13%,1
11839,2025-10-18,etv hamburger volksbank volleys,, ,14,dittmann fiona,-,-,-,-,-,-,-,-,.,.,1,-,-,-,0%,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,15,thaden alexa sophie,2,1,-1,7,1,1,-,-,.,.,6,-,2,1,17%,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,19,stiriz sarah,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11839,2025-10-18,etv hamburger volksbank volleys,, ,,totals,25,9,-10,42,5,3,68,10,32%,12%,81,9,11,19,23%,3
