Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11840,2025-10-18,dresdner sc,, ,1,nestler patricia (l),-,-,-3,-,-,-,39,3,49%,31%,-,-,-,-,.,-
11840,2025-10-18,dresdner sc,, ,2,winter larissa,-,-,-,6,-,-,1,-,0%,0%,-,-,-,-,.,-
11840,2025-10-18,dresdner sc,, ,4,grome emma,-,-,-3,21,2,-,1,-,0%,0%,2,1,-,-,0%,-
11840,2025-10-18,dresdner sc,, ,5,entius rosa,2,-,1,-,-,-,-,-,.,.,2,1,-,1,50%,1
11840,2025-10-18,dresdner sc,, ,6,van der werff amelia,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11840,2025-10-18,dresdner sc,, ,7,ziegenbalg teresa,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11840,2025-10-18,dresdner sc,, ,8,kuipers jette,11,1,8,14,-,1,24,-,33%,29%,25,1,2,9,36%,1
11840,2025-10-18,dresdner sc,, ,10,akimoto miku,22,5,11,14,5,-,26,1,42%,15%,39,1,4,20,51%,2
11840,2025-10-18,dresdner sc,, ,11,siksna amanda,8,4,3,14,4,1,-,-,.,.,12,-,1,4,33%,3
11840,2025-10-18,dresdner sc,, ,12,pfeffer mette marleen,14,6,8,21,4,1,-,-,.,.,10,-,2,6,60%,7
11840,2025-10-18,dresdner sc,, ,13,rosemann florentine,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11840,2025-10-18,dresdner sc,, ,15,levinska marta kamēlija,15,5,3,12,3,-,-,-,.,.,37,5,4,14,38%,1
11840,2025-10-18,dresdner sc,, ,,totals,72,21,28,102,18,3,91,4,42%,25%,127,9,13,54,43%,15
