Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11840,2025-10-18,vfb suhl lotto thüringen,, ,1,naujack svea,1,1,1,2,-,-,4,-,0%,0%,1,-,-,1,100%,-
11840,2025-10-18,vfb suhl lotto thüringen,, ,2,ramos mencia irene del carmen,-,-,-1,2,1,-,-,-,.,.,-,-,-,-,.,-
11840,2025-10-18,vfb suhl lotto thüringen,, ,3,nagels lara,3,1,2,13,1,-,-,-,.,.,5,-,-,2,40%,1
11840,2025-10-18,vfb suhl lotto thüringen,, ,4,laakkonen roosa,11,9,9,16,-,2,1,-,0%,0%,10,1,1,4,40%,5
11840,2025-10-18,vfb suhl lotto thüringen,, ,5,hartmann hannah,1,1,-,1,1,-,-,-,.,.,1,-,-,1,100%,-
11840,2025-10-18,vfb suhl lotto thüringen,, ,7,sambale emma (l),-,-,-2,-,-,-,33,2,52%,39%,-,-,-,-,.,-
11840,2025-10-18,vfb suhl lotto thüringen,, ,8,foley mackenzie,12,1,-,13,3,-,30,1,67%,47%,27,3,5,9,33%,3
11840,2025-10-18,vfb suhl lotto thüringen,, ,9,dotson sanaa,18,5,6,18,6,1,16,-,50%,19%,34,2,4,17,50%,-
11840,2025-10-18,vfb suhl lotto thüringen,, ,11,berger laura,9,3,8,18,-,-,-,-,.,.,10,1,-,6,60%,3
11840,2025-10-18,vfb suhl lotto thüringen,, ,17,nasin alina,1,1,1,2,-,-,-,-,.,.,-,-,-,-,.,1
11840,2025-10-18,vfb suhl lotto thüringen,, ,20,lai xiang-chen (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11840,2025-10-18,vfb suhl lotto thüringen,, ,25,brancuska monika,20,6,9,20,2,1,-,-,.,.,54,4,5,19,35%,-
11840,2025-10-18,vfb suhl lotto thüringen,, ,,totals,76,28,33,105,14,4,84,3,54%,36%,142,11,15,59,42%,13
