Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11841,2025-10-19,skurios volleys borken,, ,1,bernhard lena,1,1,-2,2,-,-,1,1,0%,0%,6,-,2,1,17%,-
11841,2025-10-19,skurios volleys borken,, ,2,demirer melisa nafia (l),-,-,-2,-,-,-,2,2,0%,0%,-,-,-,-,.,-
11841,2025-10-19,skurios volleys borken,, ,3,luther doreen,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11841,2025-10-19,skurios volleys borken,, ,4,hansen ditte kjær (l),-,-,-2,-,-,-,25,2,36%,12%,-,-,-,-,.,-
11841,2025-10-19,skurios volleys borken,, ,5,loker marika,2,-,-1,10,1,-,2,-,50%,50%,15,2,-,2,13%,-
11841,2025-10-19,skurios volleys borken,, ,6,kretschmer lara,7,3,6,5,-,-,-,-,.,.,11,-,1,6,55%,1
11841,2025-10-19,skurios volleys borken,, ,7,hövels sandra,3,-,1,6,-,-,1,-,100%,100%,12,-,2,3,25%,-
11841,2025-10-19,skurios volleys borken,, ,8,gesquiere amber,4,2,3,5,1,1,-,-,.,.,2,-,-,2,100%,1
11841,2025-10-19,skurios volleys borken,, ,9,rudde hannah,2,1,2,4,-,1,-,-,.,.,2,-,-,1,50%,-
11841,2025-10-19,skurios volleys borken,, ,10,konjer chaine,3,1,2,6,1,1,1,-,0%,0%,2,-,-,2,100%,-
11841,2025-10-19,skurios volleys borken,, ,11,mohr pia,2,-,-3,2,1,-,8,1,38%,13%,8,2,1,1,13%,1
11841,2025-10-19,skurios volleys borken,, ,12,coenders fabienne,6,3,4,9,-,1,24,1,46%,17%,19,1,-,4,21%,1
11841,2025-10-19,skurios volleys borken,, ,14,nassmacher thereasa,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11841,2025-10-19,skurios volleys borken,, ,15,piest madleen,-,-,-1,1,-,-,1,-,0%,0%,1,1,-,-,0%,-
11841,2025-10-19,skurios volleys borken,, ,17,kastrup liza,5,2,-,2,-,-,-,-,.,.,15,3,2,4,27%,1
11841,2025-10-19,skurios volleys borken,, ,,totals,35,13,7,52,4,4,65,7,38%,15%,93,9,8,26,28%,5
