Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11841,2025-10-19,vc wiesbaden,, ,2,lópez rey cayetana,-,-,-3,1,1,-,4,1,50%,25%,3,1,-,-,0%,-
11841,2025-10-19,vc wiesbaden,, ,3,van der pijl pleun,16,6,11,9,3,-,20,1,35%,20%,16,1,-,12,75%,4
11841,2025-10-19,vc wiesbaden,, ,6,weinmann hanna,1,1,1,-,-,-,-,-,.,.,1,-,-,1,100%,-
11841,2025-10-19,vc wiesbaden,, ,9,sain rene (l),-,-,-,-,-,-,7,-,57%,0%,-,-,-,-,.,-
11841,2025-10-19,vc wiesbaden,, ,10,broekstra laura,9,4,9,6,-,-,-,-,.,.,10,-,-,5,50%,4
11841,2025-10-19,vc wiesbaden,, ,11,konijnenberg sanne,2,2,2,15,-,2,-,-,.,.,4,-,-,-,0%,-
11841,2025-10-19,vc wiesbaden,, ,12,boom dagmar,11,7,7,16,1,2,16,1,38%,19%,14,-,2,9,64%,-
11841,2025-10-19,vc wiesbaden,, ,18,rieger marlene katharina,1,1,1,6,-,1,-,-,.,.,-,-,-,-,.,-
11841,2025-10-19,vc wiesbaden,, ,20,clayton hannah,4,3,-2,10,3,-,1,1,0%,0%,6,1,1,4,67%,-
11841,2025-10-19,vc wiesbaden,, ,22,fernandez gayoso jimena,17,9,14,11,1,2,-,-,.,.,31,-,2,15,48%,-
11841,2025-10-19,vc wiesbaden,, ,,totals,61,33,40,74,9,7,48,4,40%,17%,85,3,5,46,54%,8
