Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11842,2025-10-25,skurios volleys borken,, ,1,bernhard lena,2,2,-,8,-,-,4,-,0%,0%,8,-,2,2,25%,-
11842,2025-10-25,skurios volleys borken,, ,2,demirer melisa nafia (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11842,2025-10-25,skurios volleys borken,, ,3,luther doreen,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11842,2025-10-25,skurios volleys borken,, ,4,hansen ditte kjær (l),-,-,-1,-,-,-,18,1,78%,44%,-,-,-,-,.,-
11842,2025-10-25,skurios volleys borken,, ,5,loker marika,8,1,6,10,1,-,-,-,.,.,17,1,-,8,47%,-
11842,2025-10-25,skurios volleys borken,, ,6,kretschmer lara,8,4,5,8,2,1,1,-,100%,0%,8,-,1,3,38%,4
11842,2025-10-25,skurios volleys borken,, ,7,hövels sandra,2,1,-,4,1,-,1,-,0%,0%,4,1,-,2,50%,-
11842,2025-10-25,skurios volleys borken,, ,8,gesquiere amber,2,-,-1,7,-,-,-,-,.,.,6,2,1,2,33%,-
11842,2025-10-25,skurios volleys borken,, ,9,rudde hannah,2,1,-,8,-,1,-,-,.,.,5,-,2,1,20%,-
11842,2025-10-25,skurios volleys borken,, ,10,konjer chaine,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11842,2025-10-25,skurios volleys borken,, ,11,mohr pia,10,3,3,9,2,1,16,3,50%,6%,20,2,-,8,40%,1
11842,2025-10-25,skurios volleys borken,, ,12,coenders fabienne,2,1,2,5,-,-,7,-,71%,43%,5,-,-,2,40%,-
11842,2025-10-25,skurios volleys borken,, ,15,piest madleen,5,4,2,7,-,2,15,-,53%,20%,13,2,1,2,15%,1
11842,2025-10-25,skurios volleys borken,, ,17,kastrup liza,2,2,-1,2,-,-,-,-,.,.,11,1,2,2,18%,-
11842,2025-10-25,skurios volleys borken,, ,,totals,43,19,15,68,6,5,62,4,58%,24%,97,9,9,32,33%,6
