Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11844,2025-10-25,ssc palmberg schwerin,, ,2,frommann finnja (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11844,2025-10-25,ssc palmberg schwerin,, ,3,reesink florien (l),-,-,-1,-,-,-,21,1,29%,14%,-,-,-,-,.,-
11844,2025-10-25,ssc palmberg schwerin,, ,4,ten brinke marije,13,9,10,15,1,2,-,-,.,.,12,2,-,6,50%,5
11844,2025-10-25,ssc palmberg schwerin,, ,5,gerritsen suus trees,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11844,2025-10-25,ssc palmberg schwerin,, ,6,vos iris,1,-,-1,-,-,-,-,-,.,.,4,-,2,1,25%,-
11844,2025-10-25,ssc palmberg schwerin,, ,8,stuut britte mayke,8,5,3,12,3,1,1,-,100%,0%,8,2,-,4,50%,3
11844,2025-10-25,ssc palmberg schwerin,, ,9,grozer leana,15,8,4,12,4,2,46,2,41%,20%,26,2,3,11,42%,2
11844,2025-10-25,ssc palmberg schwerin,, ,11,hölzig annegret,15,6,12,23,2,2,8,-,63%,50%,24,-,1,11,46%,2
11844,2025-10-25,ssc palmberg schwerin,, ,12,kohn hannah,3,1,3,14,-,1,-,-,.,.,1,-,-,-,0%,2
11844,2025-10-25,ssc palmberg schwerin,, ,13,van clewe luisa,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11844,2025-10-25,ssc palmberg schwerin,, ,15,kirchhoff mia,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11844,2025-10-25,ssc palmberg schwerin,, ,17,jaksetic vedrana,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-
11844,2025-10-25,ssc palmberg schwerin,, ,19,artyshuk anna,19,6,10,16,4,2,-,-,.,.,32,2,3,16,50%,1
11844,2025-10-25,ssc palmberg schwerin,, ,20,kok helena,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11844,2025-10-25,ssc palmberg schwerin,, ,,totals,74,35,40,94,14,10,76,3,41%,21%,107,8,9,49,46%,15
