Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11846,2025-10-25,schwarz-weiß erfurt,, ,1,zellin alina,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11846,2025-10-25,schwarz-weiß erfurt,, ,2,sandbothe elizabeth,6,3,2,5,2,-,-,-,.,.,9,2,-,3,33%,3
11846,2025-10-25,schwarz-weiß erfurt,, ,4,goertz lotte (l),-,-,-4,-,-,-,35,4,46%,14%,-,-,-,-,.,-
11846,2025-10-25,schwarz-weiß erfurt,, ,5,respaut emilie,3,3,2,11,1,3,-,-,.,.,-,-,-,-,.,-
11846,2025-10-25,schwarz-weiß erfurt,, ,6,linke lena,3,1,2,11,1,1,-,-,.,.,7,-,-,2,29%,-
11846,2025-10-25,schwarz-weiß erfurt,, ,7,siebert sina,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11846,2025-10-25,schwarz-weiß erfurt,, ,8,feistritzer lea,6,-,3,8,-,-,11,-,18%,9%,19,3,-,6,32%,-
11846,2025-10-25,schwarz-weiß erfurt,, ,9,greskamp antonia,1,1,-,4,1,1,-,-,.,.,-,-,-,-,.,-
11846,2025-10-25,schwarz-weiß erfurt,, ,10,szücs kinga,6,1,-,7,2,-,13,-,38%,23%,18,3,1,6,33%,-
11846,2025-10-25,schwarz-weiß erfurt,, ,11,kovacic isabel,16,4,10,9,-,-,-,-,.,.,30,3,3,14,47%,2
11846,2025-10-25,schwarz-weiß erfurt,, ,14,darley alianza,-,-,-1,1,-,-,2,-,0%,0%,5,1,-,-,0%,-
11846,2025-10-25,schwarz-weiß erfurt,, ,55,stauß mia anna,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
11846,2025-10-25,schwarz-weiß erfurt,, ,,totals,41,13,14,57,7,5,61,4,38%,15%,88,12,4,31,35%,5
