Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11847,2025-10-24,vc wiesbaden,, ,2,lópez rey cayetana,6,1,1,3,-,-,10,1,50%,10%,20,2,2,6,30%,-
11847,2025-10-24,vc wiesbaden,, ,3,van der pijl pleun,8,-,1,6,2,-,18,1,11%,0%,23,-,4,8,35%,-
11847,2025-10-24,vc wiesbaden,, ,6,weinmann hanna,-,-,-1,1,1,-,-,-,.,.,-,-,-,-,.,-
11847,2025-10-24,vc wiesbaden,, ,9,sain rene (l),-,-,-3,-,-,-,12,3,25%,8%,-,-,-,-,.,-
11847,2025-10-24,vc wiesbaden,, ,10,broekstra laura,4,3,-,7,2,-,-,-,.,.,9,1,1,3,33%,1
11847,2025-10-24,vc wiesbaden,, ,11,konijnenberg sanne,2,1,1,5,1,-,-,-,.,.,3,-,-,1,33%,1
11847,2025-10-24,vc wiesbaden,, ,12,boom dagmar,5,3,1,15,-,2,22,3,36%,9%,11,-,1,3,27%,-
11847,2025-10-24,vc wiesbaden,, ,13,bietau lilly,-,-,-2,2,1,-,2,1,0%,0%,-,-,-,-,.,-
11847,2025-10-24,vc wiesbaden,, ,18,rieger marlene katharina,-,-,-2,5,2,-,-,-,.,.,-,-,-,-,.,-
11847,2025-10-24,vc wiesbaden,, ,20,clayton hannah,-,-,-2,1,-,-,-,-,.,.,4,-,2,-,0%,-
11847,2025-10-24,vc wiesbaden,, ,22,fernandez gayoso jimena,8,3,1,6,1,-,-,-,.,.,20,3,3,7,35%,1
11847,2025-10-24,vc wiesbaden,, ,,totals,33,11,-5,51,10,2,64,9,28%,6%,90,6,13,28,31%,3
