Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11847,2025-10-24,dresdner sc,, ,1,nestler patricia (l),-,-,-,-,-,-,5,-,0%,0%,-,-,-,-,.,-
11847,2025-10-24,dresdner sc,, ,2,winter larissa,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
11847,2025-10-24,dresdner sc,, ,4,grome emma,4,3,3,12,1,1,-,-,.,.,1,-,-,-,0%,3
11847,2025-10-24,dresdner sc,, ,5,entius rosa,2,1,1,-,-,-,-,-,.,.,5,-,1,2,40%,-
11847,2025-10-24,dresdner sc,, ,6,van der werff amelia,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11847,2025-10-24,dresdner sc,, ,7,ziegenbalg teresa,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11847,2025-10-24,dresdner sc,, ,8,kuipers jette,12,7,11,11,1,1,16,-,31%,13%,15,-,-,6,40%,5
11847,2025-10-24,dresdner sc,, ,10,akimoto miku,14,8,8,16,3,4,20,2,25%,10%,19,-,1,10,53%,-
11847,2025-10-24,dresdner sc,, ,11,siksna amanda,4,3,1,7,2,1,-,-,.,.,8,1,-,3,38%,-
11847,2025-10-24,dresdner sc,, ,12,pfeffer mette marleen,10,5,6,13,2,1,-,-,.,.,6,1,1,4,67%,5
11847,2025-10-24,dresdner sc,, ,13,rosemann florentine,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11847,2025-10-24,dresdner sc,, ,15,levinska marta kamēlija,12,5,12,13,-,1,-,-,.,.,22,-,-,11,50%,-
11847,2025-10-24,dresdner sc,, ,,totals,58,32,42,73,9,9,41,2,24%,10%,76,2,3,36,47%,13
